n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,resampled,tuning_budget,n_features,seed,delta_days,n_monotone
158,0.04430379746835443,0.2778597360827326,0.8467360454115421,6.271691185867393,0.04286238786958139,0.038690729398227805,,,,0,7,0.2778597360827326,0.04430379746835443,6.271691185867393,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,14028,158,0.04733390362132877,0.04430379746835443,299,643,lightgbm,False,0.0,221,1,7,
2711,0.04869052010328292,0.09486374808786317,0.6254420905448435,1.948300159592402,0.0495492549471848,0.051031722887223394,0.026192212341012506,0.013389441469013007,1.9561840874116196,35,97,0.09486374808786317,0.04869052010328292,1.948300159592402,2711,132,1.0,0.024365617809055794,0.03787878787878788,0.18518518518518517,0.01,27,35,0.08571428571428572,0.0,0.0,0.0,0,60,90,2307,2711,0.06155179887299523,0.04869052010328292,968,563,halo,,,221,0,7,19.0
2770,0.053429602888086646,0.0756360195209804,0.5398215721442265,1.4156200950886195,0.0533094640000434,0.05352600505072972,0.05838145332583967,0.01093926820067899,5.33687009540693,29,119,0.0756360195209804,0.053429602888086646,1.4156200950886195,2770,148,1.0,0.022142744197511905,0.02702702702702703,0.14285714285714285,0.01,28,29,0.10344827586206896,0.0,0.0,0.3333333333333333,1,90,120,4916,2770,0.04800650935720097,0.053429602888086646,1031,602,halo,,,221,0,7,19.0
2838,0.04439746300211417,0.07942289212205876,0.657682492859484,1.7889060939873234,0.04418207076304764,0.04431671858779666,0.04758955201628324,0.009857612267250822,4.827695665651844,27,99,0.07942289212205876,0.04439746300211417,1.7889060939873234,2838,126,1.0,0.010757660305595216,0.023809523809523808,0.10714285714285714,0.01,28,27,0.1111111111111111,0.0,0.0,0.0,2,120,150,7687,2838,0.050084558345258226,0.04439746300211417,957,675,halo,,,221,0,7,19.0
2813,0.03590472804834696,0.07254652042803739,0.6562290078565378,2.0205283362779123,0.036043531496869105,0.03643401870468937,0.034749999930092,0.009495982468955442,3.6594423003304573,26,75,0.07254652042803739,0.03590472804834696,2.0205283362779123,2813,101,1.0,0.04881165144590402,0.04950495049504951,0.17857142857142858,0.01,28,26,0.15384615384615385,1.0,14.274444444444445,0.0,3,150,180,10513,2813,0.051460097022733756,0.03590472804834696,931,713,halo,,,221,0,7,19.0
158,0.04430379746835443,0.30106421356421353,0.8628192999053925,6.795449391877963,0.04430379746835443,0.04430379746835443,,,,0,7,0.30106421356421353,0.04430379746835443,6.795449391877963,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,14028,158,0.04733390362132877,0.04430379746835443,299,643,halo,,,221,0,7,19.0
2711,0.04869052010328292,0.0857482575073209,0.6217731796444476,1.761087318957174,0.05005245961675973,0.051322060845010786,0.02522200143390322,0.013389441469013007,1.8837231928063718,35,97,0.0857482575073209,0.04869052010328292,1.761087318957174,2711,132,1.0,0.024365617809055794,0.03787878787878788,0.18518518518518517,0.01,27,35,0.08571428571428572,0.0,0.0,0.0,0,60,90,2307,2711,0.06155179887299523,0.04869052010328292,968,563,halo,,,221,1,7,19.0
2770,0.053429602888086646,0.07641268272751145,0.5581745933576597,1.4301562915892345,0.05326165948809318,0.053629525524785795,0.053473170160852845,0.01093926820067899,4.888185313669686,29,119,0.07641268272751145,0.053429602888086646,1.4301562915892345,2770,148,1.0,0.040209531416504254,0.02702702702702703,0.14285714285714285,0.01,28,29,0.10344827586206896,0.0,0.0,0.0,1,90,120,4916,2770,0.04800650935720097,0.053429602888086646,1031,602,halo,,,221,1,7,19.0
2838,0.04439746300211417,0.07793518842879106,0.6547911691717001,1.7553973393722937,0.04425892252776133,0.04432936724230758,0.04492929562441745,0.009857612267250822,4.557827433899236,27,99,0.07793518842879106,0.04439746300211417,1.7553973393722937,2838,126,1.0,0.012833298317784552,0.03968253968253968,0.17857142857142858,0.01,28,27,0.14814814814814814,0.0,0.0,0.0,2,120,150,7687,2838,0.050084558345258226,0.04439746300211417,957,675,halo,,,221,1,7,19.0
2813,0.03590472804834696,0.07004601573445139,0.6425567335494611,1.9508855669407104,0.036054990206898285,0.036535467506166555,0.03518493068404821,0.009495982468955442,3.7052438543432307,26,75,0.07004601573445139,0.03590472804834696,1.9508855669407104,2813,101,1.0,0.04592239541213342,0.04950495049504951,0.17857142857142858,0.01,28,26,0.15384615384615385,1.0,14.274444444444445,0.0,3,150,180,10513,2813,0.051460097022733756,0.03590472804834696,931,713,halo,,,221,1,7,19.0
158,0.04430379746835443,0.2659316815870214,0.7483443708609271,6.00245795582134,0.04430379746835443,0.04430379746835443,,,,0,7,0.2659316815870214,0.04430379746835443,6.00245795582134,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,14028,158,0.04733390362132877,0.04430379746835443,299,643,halo,,,221,1,7,19.0
2711,0.04869052010328292,0.07653123129583624,0.6195788830530978,1.5717891518410003,0.04720536287357829,0.026743773970472357,0.018679747764435213,0.013389441469013007,1.3951103044638185,35,97,0.07653123129583624,0.04869052010328292,1.5717891518410003,2711,132,1.0,0.021982631983811955,0.015151515151515152,0.07407407407407407,0.01,27,35,0.02857142857142857,3.0,301.8883333333333,0.0,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,lightgbm,False,0.0,221,0,30,
2770,0.053429602888086646,0.09253285682332771,0.6262652812996063,1.7318649554095793,0.051315917745023164,0.035997539378899775,0.024319484385668177,0.01093926820067899,2.2231363140140115,29,119,0.09253285682332771,0.053429602888086646,1.7318649554095793,2770,148,1.0,0.028282157580903012,0.04054054054054054,0.21428571428571427,0.01,28,29,0.1724137931034483,1.0,180.53527777777776,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,lightgbm,False,0.0,221,0,30,
2838,0.04439746300211417,0.09809534528866384,0.6732657910755256,2.2094808724541903,0.042595199803784616,0.031122899404124434,0.017124207306953538,0.009857612267250822,1.7371556968053976,27,99,0.09809534528866384,0.04439746300211417,2.2094808724541903,2838,126,1.0,0.029709039306282742,0.03968253968253968,0.17857142857142858,0.01,28,27,0.07407407407407407,0.5,27.77263888888889,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,lightgbm,False,0.0,221,0,30,
