n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,resampled,tuning_budget,n_features,seed,n_monotone
2711,0.04869052010328292,0.08280156450622683,0.6372860046764661,1.7005684952756133,0.04780860023279094,0.04117732457240429,0.019479800188255472,0.013389441469013007,1.4548627912028516,35,97,0.08280156450622683,0.04869052010328292,1.7005684952756133,2711,132,1.0,0.014582712521458345,0.015151515151515152,0.07407407407407407,0.01,27,35,0.0,,,,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,xgboost,False,0.0,221,0,
2770,0.053429602888086646,0.09518128976842104,0.6279712206485661,1.7814335990440964,0.05249855507218889,0.04820717986393531,0.02947143591037402,0.01093926820067899,2.6940957447724663,29,119,0.09518128976842104,0.053429602888086646,1.7814335990440964,2770,148,1.0,0.018872887217140394,0.033783783783783786,0.17857142857142858,0.01,28,29,0.13793103448275862,1.0,96.87263888888889,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,xgboost,False,0.0,221,0,
2838,0.04439746300211417,0.10201306420526021,0.6887671489441402,2.2977228270994323,0.04357497713176956,0.04001607313180637,0.015780455568754372,0.009857612267250822,1.6008395482525268,27,99,0.10201306420526021,0.04439746300211417,2.2977228270994323,2838,126,1.0,0.08925086190410808,0.05555555555555555,0.25,0.01,28,27,0.18518518518518517,1.0,358.6713888888889,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,xgboost,False,0.0,221,0,
2813,0.03590472804834696,0.06701848920526914,0.6982771839130815,1.866564456776456,0.03532830403388543,0.03028842223059659,0.01654909082147351,0.009495982468955442,1.7427465641997872,26,75,0.06701848920526914,0.03590472804834696,1.866564456776456,2813,101,1.0,0.04301168953543111,0.0297029702970297,0.10714285714285714,0.01,28,26,0.15384615384615385,0.5,92.96166666666667,0.25,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,xgboost,False,0.0,221,0,
158,0.04430379746835443,0.1189365775572672,0.7095553453169346,2.6845684648640313,0.04351887729520899,0.040118479644316044,,,,0,7,0.1189365775572672,0.04430379746835443,2.6845684648640313,158,7,1.0,0.0,0.0,0.0,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,xgboost,False,0.0,221,0,
2711,0.04869052010328292,0.07525957189722642,0.6229863583489019,1.545671965252885,0.04815319238157119,0.042234440599835825,0.01705824687477683,0.013389441469013007,1.2740073523047608,35,97,0.07525957189722642,0.04869052010328292,1.545671965252885,2711,132,1.0,0.007083432037177064,0.007575757575757576,0.037037037037037035,0.01,27,35,0.02857142857142857,1.0,91.01027777777777,0.0,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,xgboost,False,0.0,221,1,
2770,0.053429602888086646,0.09283591852951117,0.610667017131548,1.7375371238293644,0.05247153066207739,0.04859744590649835,0.028976729045241165,0.01093926820067899,2.648872713756356,29,119,0.09283591852951117,0.053429602888086646,1.7375371238293644,2770,148,1.0,0.03965357342599922,0.04054054054054054,0.21428571428571427,0.01,28,29,0.13793103448275862,0.5,90.26763888888888,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,xgboost,False,0.0,221,1,
2838,0.04439746300211417,0.1029059196658077,0.6962090883551061,2.317833333425097,0.04359389456356918,0.04034020813823901,0.01831274336873534,0.009857612267250822,1.8577260772950406,27,99,0.1029059196658077,0.04439746300211417,2.317833333425097,2838,126,1.0,0.06453909855954915,0.05555555555555555,0.25,0.01,28,27,0.1111111111111111,1.0,20.416944444444443,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,xgboost,False,0.0,221,1,
2813,0.03590472804834696,0.07199728291627143,0.7036529980431672,2.0052312558759557,0.03529583217714886,0.030961920445231984,0.014411793811013615,0.009495982468955442,1.517672748252126,26,75,0.07199728291627143,0.03590472804834696,2.0052312558759557,2813,101,1.0,0.011887547902400706,0.009900990099009901,0.03571428571428571,0.01,28,26,0.038461538461538464,3.0,306.0877777777778,0.0,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,xgboost,False,0.0,221,1,
158,0.04430379746835443,0.0930343026441847,0.6792809839167455,2.0999171168258832,0.043680037337471556,0.03941475532466731,,,,0,7,0.0930343026441847,0.04430379746835443,2.0999171168258832,158,7,1.0,0.0,0.0,0.0,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,xgboost,False,0.0,221,1,
